date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:08	12807/12807	---MCZ	200	added ('OK')	text/html	etag:%228f1231dfc43ab8c0a9975c5c4119190a%22	http://2013.mblt.ru/ru	D:/Docs/Desktop/httrack/mblt13/mblt13/ru.html	(from )
10:52:08	11868/11868	---MCZ	200	added ('OK')	text/html	etag:%228996362462e1872bc4fd170011f23b67%22	http://2013.mblt.ru/en	D:/Docs/Desktop/httrack/mblt13/mblt13/en.html	(from )
10:52:09	167/167	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Apr%202014%2007:22:10%20GMT	http://2013.mblt.ru/robots.txt		(from )
10:52:09	39854/39854	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2007:22:10%20GMT	http://2013.mblt.ru/assets/application-9970ff11ea018036a2c8090aaff0c82d.css	D:/Docs/Desktop/httrack/mblt13/mblt13/assets/application-9970ff11ea018036a2c8090aaff0c82d.css	(from http://2013.mblt.ru/ru)
10:52:09	2429/2429	---M--	200	added ('OK')	text/javascript	etag:%2223//trunk/html5.js%22	http://html5shim.googlecode.com/svn/trunk/html5.js	D:/Docs/Desktop/httrack/mblt13/mblt13/svn/trunk/html5.js	(from http://2013.mblt.ru/ru)
10:52:10	3709/3709	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Apr%202014%2007:22:10%20GMT	http://2013.mblt.ru/assets/layout/mblt13-cbadb613e238542eb3602b78fac82c16.png	D:/Docs/Desktop/httrack/mblt13/mblt13/assets/layout/mblt13-cbadb613e238542eb3602b78fac82c16.png	(from http://2013.mblt.ru/ru)
10:52:10	44375/44375	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Apr%202014%2009:27:24%20GMT	http://2013.mblt.ru/ru/timetable	D:/Docs/Desktop/httrack/mblt13/mblt13/ru/timetable.html	(from http://2013.mblt.ru/ru)
10:52:11	46627/46627	---MCZ	200	added ('OK')	text/html	etag:%22151e56b99b2e7e569b0db483a032aec1%22	http://2013.mblt.ru/ru/speakers	D:/Docs/Desktop/httrack/mblt13/mblt13/ru/speakers.html	(from http://2013.mblt.ru/ru)
10:52:11	5533/5533	---MCZ	200	added ('OK')	text/html	etag:%222da06ef3d6683068ae37e9950a51156a%22	http://2013.mblt.ru/ru/pages/contacts	D:/Docs/Desktop/httrack/mblt13/mblt13/ru/pages/contacts.html	(from http://2013.mblt.ru/ru)
10:52:12	38921/38921	---MCZ	200	added ('OK')	text/html	etag:%226eff469ec673d75ee6eedb295a6f5141%22	http://2013.mblt.ru/ru/pages/report	D:/Docs/Desktop/httrack/mblt13/mblt13/ru/pages/report.html	(from http://2013.mblt.ru/ru)
